name,author
Kissinger: 1923-1968: The Idealist,Niall Ferguson
Atlas Shrugged,Ayn Rand
The Clockwork Universe,Edward Dolnick
James Watt,Andrew Carnegie
God Save Texas,Lawrence Wright
The Undiscovered Country,Paul Andrew Hutton
The Storm of War,Andrew Roberts
The Roman Revolution,Ronald Syme
Stranger in a Strange Land,Robert A. Heinlein
Gold: The Final Science Fiction Collection,Isaac Asimov
Who: The A Method for Hiring,Geoff Smart
1929,Andrew Ross Sorkin
The Reader's Companion to American History,Eric Foner
Agricola,Simon Turney
The Origins of Efficiency,Michael C. Munger
In the Company of Soldiers,Rick Atkinson
The British Are Coming,Rick Atkinson
The Proud Tower,Barbara W. Tuchman
The Spy Who Came In From the Cold,John le Carré
Dune,Frank Herbert
Dune Messiah,Frank Herbert
Children of Dune,Frank Herbert
God Emperor of Dune,Frank Herbert
Heretics of Dune,Frank Herbert
Chapterhouse: Dune,Frank Herbert
The JOLT Effect,Matthew Dixon
The Phoenix Project,Gene Kim
Inventing the Future,Corinna Lathan
More Money Than God,Sebastian Mallaby
The Essential Writings of Ralph Waldo Emerson,Ralph Waldo Emerson
Apple in China,Patrick McGee
The Optimist: Sam Altman,Keach Hagey
Conflict: The Evolution of Warfare,David H. Petraeus
On the Edge,Nate Silver
Mornings on Horseback,David McCullough
How the World Really Works,Vaclav Smil
Chip War,Chris Miller
Ender's Game,Orson Scott Card
Foundation,Isaac Asimov
Foundation and Empire,Isaac Asimov
Second Foundation,Isaac Asimov
Foundation's Edge,Isaac Asimov
Foundation and Earth,Isaac Asimov
Prelude to Foundation,Isaac Asimov
Forward the Foundation,Isaac Asimov
Gateway,Frederik Pohl
The Hitchhiker's Guide to the Galaxy,Douglas Adams
Brave New World,Aldous Huxley
The Three-Body Problem,Cixin Liu
The Dark Forest,Cixin Liu
How Economics Explains the World,Andrew Leigh
The Future and Its Enemies,Virginia Postrel
The Ascent Of Man,Jacob Bronowski
The Outbreak of the Peloponnesian War,Donald Kagan
Nexus,Yuval Noah Harari
Power and Progress,Daron Acemoglu
The Mote in God's Eye,Larry Niven
Carthage Must Be Destroyed,Richard Miles
The Rise of Rome,Anthony Everitt
The Rise and Fall of American Growth,Robert J. Gordon
The House of Morgan,Ron Chernow
The Calculating Stars,Mary Robinette Kowal
